a	﻿một
leadership	khả năng lãnh đạo
leading	dẫn đầu
leaf	lá
league	liên đoàn
lean	gầy
learn	học hỏi
learning	học tập
least	ít nhất
leather	da
leave	rời khỏi
left	trái
leg	Chân
legacy	di sản
legal	hợp pháp
legend	huyền thoại
legislation	pháp luật
legitimate	hợp pháp
lemon	Chanh
length	chiều dài
less	ít hơn
lesson	bài học
let	để cho
letter	lá thư
level	cấp độ
liberal	tự do
library	thư viện
license	giấy phép
lie	nói dối
life	đời sống
lifestyle	lối sống
lifetime	cả đời
lift	thang máy
light	ánh sáng
like	như
likely	có khả năng
limit	giới hạn
limitation	giới hạn
limited	hạn chế
line	hàng
link	liên kết
lip	môi
list	danh sách
listen	nghe
literally	theo nghĩa đen
literary	văn chương
literature	văn chương
little	ít
live	trực tiếp
living	sống
load	tải trọng
loan	tiền vay
local	địa phương
locate	định vị
location	vị trí
lock	Khóa
long	Dài
long-term	lâu dài
look	nhìn
loose	lỏng lẻo
lose	thua
loss	mất mát
lost	mất đi
lot	nhiều
lots	rất nhiều
loud	to tiếng
love	yêu
lovely	đáng yêu
lover	người yêu
low	thấp
lower	thấp hơn
luck	may mắn
lucky	may mắn
lunch	Bữa trưa
lung	phổi
machine	máy móc
mad	điên
magazine	tạp chí
mail	thư
main	chủ yếu
mainly	chủ yếu
maintain	duy trì
maintenance	bảo trì
major	chính
majority	đa số
make	chế tạo
maker	người tạo ra
makeup	trang điểm
male	Nam giới
mall	trung tâm mua sắm
man	Đàn ông
manage	quản lý
management	sự quản lý
manager	giám đốc
manner	cách thức
manufacturer	nhà chế tạo
manufacturing	chế tạo
many	nhiều
map	bản đồ
margin	lề
mark	dấu
market	thị trường
marketing	tiếp thị
marriage	kết hôn
married	cưới nhau
marry	kết hôn
mask	mặt nạ
mass	khối lượng
massive	to lớn
master	bậc thầy
match	trận đấu
material	vật chất
math	môn Toán
matter	vấn đề
may	có thể
maybe	có lẽ
mayor	thị trưởng
me	tôi
meal	bữa ăn
mean	nghĩa là
meaning	Ý nghĩa
meanwhile	trong khi đó
measure	đo
measurement	đo lường
meat	thịt
mechanism	cơ chế
media	phương tiện truyền thông
medical	Y khoa
medication	thuốc men
medicine	dược phẩm
medium	Trung bình
meet	gặp
meeting	gặp gỡ
member	hội viên
membership	thành viên
memory	ký ức
mental	tâm thần
mention	đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ đơn thuần là
mess	lộn xộn
message	thông điệp
metal	kim loại
meter	đồng hồ đo
method	phương pháp
mexican	Người Mexico
middle	ở giữa
might	có thể
military	quân đội
milk	Sữa
million	triệu
mind	lí trí
mine	của tôi
minister	bộ trưởng, mục sư
minor	diễn viên phụ
minority	thiểu số
minute	phút
miracle	phép màu
mirror	gương
miss	bỏ lỡ
missile	tên lửa
mission	sứ mệnh
mistake	sai lầm
mix	pha trộn
mixture	hỗn hợp
mm-hmm	mm-hmm
mode	chế độ
model	mô hình
moderate	vừa phải
modern	hiện đại
modest	khiêm tốn
mom	mẹ
moment	chốc lát
money	tiền bạc
monitor	màn hình
month	tháng
mood	khí sắc
moon	mặt trăng
moral	đạo đức
more	hơn
moreover	hơn thế nữa
morning	buổi sáng
mortgage	thế chấp
most	phần lớn
mostly	chủ yếu
mother	mẹ
motion	chuyển động
motivation	động lực
motor	động cơ
mount	gắn kết
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển
movement	sự di chuyển
movie	bộ phim
mr	Ông
mrs	Bà
ms	Cô
much	nhiều
multiple	nhiều
murder	giết người
muscle	cơ bắp
museum	viện bảo tàng
music	Âm nhạc
musical	âm nhạc
musician	nhạc sĩ
muslim	Hồi
must	phải
mutual	lẫn nhau
my	của tôi
myself	riêng tôi
mystery	huyền bí
myth	huyền thoại
naked	trần truồng
name	Tên
narrative	tường thuật
narrow	hẹp
nation	quốc gia
national	Quốc gia
native	tự nhiên
natural	tự nhiên
naturally	một cách tự nhiên
nature	Thiên nhiên
near	ở gần
nearby	gần đó
nearly	Gần
necessarily	nhất thiết
necessary	cần thiết
neck	cái cổ
need	nhu cầu
negative	tiêu cực
negotiate	đàm phán
negotiation	thương thuyết
neighbor	hàng xóm
neighborhood	khu vực lân cận
neither	cũng không
nerve	dây thần kinh
nervous	lo lắng
net	mạng lưới
network	mạng lưới
never	không bao giờ
nevertheless	Tuy nhiên
new	Mới
newly	mới được
news	Tin tức
newspaper	báo chí
next	kế tiếp
nice	tốt đẹp
night	đêm
nine	chín
no	Không
nobody	không ai
nod	gật đầu
noise	tiếng ồn
nomination	đề cử
none	không ai
nonetheless	dù sao đi nữa
nor	cũng không
normal	bình thường
normally	bình thường
north	Bắc
northern	Phương bắc
nose	mũi
not	không phải
note	chú thích
nothing	không có gì
notice	để ý
notion	khái niệm
novel	cuốn tiểu thuyết
now	hiện nay
nowhere	hư không
n't	không phải
nuclear	Nguyên tử
number	con số
numerous	vô số
nurse	y tá
nut	hạt
object	vật
objective	mục tiêu
obligation	nghĩa vụ
observation	quan sát
observe	quan sát
observer	người quan sát
obtain	đạt được
obvious	hiển nhiên
obviously	chắc chắn
occasion	dịp
occasionally	thỉnh thoảng
occupation	nghề nghiệp
occupy	chiếm
occur	xảy ra
ocean	đại dương
odd	lẻ
odds	tỷ lệ cược
of	của
off	tắt
offense	xúc phạm
offensive	phản cảm
offer	phục vụ
office	văn phòng
officer	nhân viên văn phòng
official	chính thức
often	thường xuyên
oh	Oh
oil	dầu
ok	được
okay	đuợc
old	cũ
olympic	Olympic
on	trên
once	Một lần
one	một
ongoing	liên tục
onion	củ hành
online	Trực tuyến
only	chỉ có
onto	trên
open	mở
opening	khai mạc
operate	vận hành
operating	điều hành
operation	hoạt động
operator	nhà điều hành
opinion	ý kiến
opponent	phản đối
opportunity	cơ hội
oppose	phản đối
opposite	đối diện
opposition	Sự đối lập
option	Tùy chọn
or	hoặc là
orange	trái cam
order	gọi món
ordinary	bình thường
organic	hữu cơ
organization	cơ quan
organize	tổ chức
orientation	sự định hướng
origin	gốc
original	nguyên
originally	ban đầu
other	khác
others	khác
otherwise	nếu không thì
ought	nên
our	của chúng tôi
ourselves	chính chúng ta
out	ngoài
outcome	kết quả
outside	ở ngoài
oven	lò nướng
over	kết thúc
overall	tổng thể
overcome	vượt qua
overlook	bỏ qua
owe	nợ
own	sở hữu
owner	chủ nhân
pace	tốc độ
pack	đóng gói
package	gói
page	trang
pain	đau đớn
painful	đau đớn
paint	Sơn
painter	họa sĩ
painting	bức vẽ
pair	đôi
pale	nhợt nhạt
palestinian	Người Palestine
palm	lòng bàn tay
pan	cái chảo
panel	bảng điều khiển
pant	quần
paper	giấy
parent	cha mẹ
park	công viên
parking	đậu xe
part	phần
participant	người tham gia
participate	tham dự
participation	sự tham gia
particular	cụ thể
particularly	đặc biệt
partly	từng phần
partner	cộng sự
partnership	quan hệ đối tác
party	buổi tiệc
pass	vượt qua
passage	đoạn văn
passenger	hành khách
passion	niềm đam mê
past	quá khứ
patch	vá
path	con đường
patient	bệnh nhân
pattern	mẫu
pause	tạm ngừng
pay	trả
payment	thanh toán
pc	PC
peace	hòa bình
peak	cao điểm
peer	ngang nhau
penalty	hình phạt
people	những người
pepper	tiêu
per	mỗi
perceive	nhận thức
percentage	tỷ lệ phần trăm
perception	nhận thức
perfect	hoàn hảo
perfectly	hoàn toàn
perform	biểu diễn
performance	hiệu suất
perhaps	có lẽ
period	giai đoạn
permanent	dài hạn
permission	sự cho phép
permit	giấy phép
person	người
personal	cá nhân
personality	nhân cách
personally	cá nhân
personnel	nhân viên
perspective	quan điểm
persuade	truy vấn
pet	vật nuôi
phase	giai đoạn
phenomenon	hiện tượng
philosophy	triết học
phone	điện thoại
photo	hình chụp
photograph	ảnh chụp
photographer	nhiếp ảnh gia
phrase	cụm từ
physical	vật lý
physically	thể chất
physician	bác sĩ
piano	đàn piano
pick	chọn
picture	hình ảnh
pie	bánh
piece	cái
pile	Đóng cọc
pilot	Phi công
pine	cây thông
pink	Hồng
pipe	ống
pitch	sân cỏ
place	địa điểm
plan	kế hoạch
plane	máy bay
planet	hành tinh
planning	lập kế hoạch
plant	thực vật
plastic	nhựa
plate	đĩa
platform	nền tảng
play	chơi
player	người chơi
please	xin vui lòng
pleasure	vui lòng
plenty	nhiều
plot	âm mưu
plus	thêm
pm	PM
pocket	túi
poem	bài thơ
poet	bài thơ
poetry	thơ phú
point	điểm
pole	cây sào
police	cảnh sát
policy	chính sách
political	chính trị
politically	chính trị
politician	chính trị gia
politics	chính trị
poll	thăm dò ý kiến
pollution	sự ô nhiễm
pool	hồ bơi
poor	nghèo nàn
pop	pop
popular	phổ biến
population	dân số
porch	hiên nhà
port	Hải cảng
portion	phần
portrait	Chân dung
portray	miêu tả
pose	tư thế
position	Chức vụ
positive	tích cực
possess	sở hữu
possibility	khả năng
possible	khả thi
possibly	có thể
post	bài đăng
pot	nồi
potato	khoai tây
potential	tiềm năng
potentially	có khả năng
pound	pao
pour	đổ
poverty	nghèo nàn
powder	bột
power	quyền lực
powerful	quyền lực
practical	thực tế
practice	thực hành
pray	cầu nguyện
prayer	lời cầu nguyện
precisely	đúng
predict	dự đoán
prefer	thích hơn
preference	sở thích
pregnancy	mang thai
pregnant	có thai
preparation	sự chuẩn bị
prepare	chuẩn bị
prescription	đơn thuốc
presence	sự hiện diện
present	hiện tại
presentation	trình bày
preserve	bảo tồn
president	chủ tịch
presidential	tổng thống
press	nhấn
pressure	sức ép
pretend	giả vờ
pretty	đẹp
prevent	ngăn chặn
previous	Trước
previously	trước đây
price	giá bán
pride	tự hào
priest	thầy tu
primarily	chủ yếu
primary	sơ cấp
prime	nguyên tố
principal	hiệu trưởng
principle	nguyên tắc
print	in
prior	trước
priority	sự ưu tiên
prison	nhà tù
prisoner	Tù nhân
privacy	riêng tư
private	riêng tư
probably	có lẽ
problem	vấn đề
procedure	thủ tục
proceed	tiến hành
process	quá trình
produce	sản xuất
producer	nhà sản xuất
product	sản phẩm
production	sản xuất
profession	chuyên nghiệp
professional	chuyên nghiệp
professor	Giáo sư
profile	Hồ sơ
profit	lợi nhuận
program	chương trình
progress	phát triển
project	dự án
prominent	nổi bật
promise	lời hứa
promote	khuyến khích
prompt	lời nhắc
proof	bằng chứng
proper	đúng
properly	đúng
property	bất động sản
proportion	tỷ lệ
proposal	đề nghị
propose	cầu hôn
proposed	đề xuất
prosecutor	công tố viên
prospect	khách hàng tiềm năng
protect	bảo vệ
protection	sự bảo vệ
protein	chất đạm
protest	phản đối
proud	tự hào
prove	chứng minh
provide	cung cấp
provider	các nhà cung cấp
province	tỉnh
provision	điều khoản
psychological	tâm lý học
psychologist	nhà tâm lý học
psychology	tâm lý học
public	công cộng
publication	ấn phẩm
publicly	công khai
publish	công bố
publisher	nhà xuất bản
pull	kéo
punishment	sự trừng phạt
purchase	mua, tựa vào, bám vào
pure	nguyên chất
purpose	mục đích
pursue	theo đuổi
push	đẩy
put	đặt
qualify	hội đủ điều kiện
quality	phẩm chất
quarter	phần tư
quarterback	quarterback
question	câu hỏi
quick	nhanh chóng
quickly	Mau
quiet	Yên tĩnh
quietly	lặng lẽ
quit	bỏ
quite	khá
quote	Trích dẫn
race	cuộc đua
racial	chủng tộc
radical	căn bản
radio	radio
rail	đường sắt
rain	mưa
raise	nâng cao
range	phạm vi
rank	cấp
rapid	nhanh
rapidly	nhanh chóng
rare	hiếm
rarely	ít khi
rate	tỷ lệ
rather	hơn
rating	Xêp hạng
ratio	tỉ lệ
raw	thô tục
reach	chạm tới
react	phản ứng
reaction	phản ứng
read	đọc
reader	người đọc
reading	đọc hiểu
ready	sẳn sàng
real	thực
reality	thực tế
realize	nhận ra
really	có thật không
reason	lý do
reasonable	hợp lý
recall	hồi tưởng
receive	nhận được
recent	gần đây
recently	gần đây
recipe	công thức
recognition	sự công nhận
recognize	nhìn nhận
recommend	giới thiệu
recommendation	sự giới thiệu
record	ghi lại
recording	ghi âm
recover	bình phục
recovery	phục hồi
recruit	tuyển dụng
red	đỏ
reduce	giảm
reduction	giảm bớt
refer	tham khảo
reference	tài liệu tham khảo
reflect	phản chiếu
reflection	sự phản chiếu
reform	cải cách
refugee	người tị nạn
refuse	từ chối
regard	liên quan
regarding	về
regardless	bất kể
regime	chế độ
region	khu vực
regional	khu vực
register	ghi danh
regular	đều đặn
regularly	thường xuyên
regulate	điều chỉnh
regulation	Quy định
reinforce	củng cố
reject	Từ chối
relate	liên hệ
relation	quan hệ
relationship	mối quan hệ
relative	quan hệ
relatively	tương đối
relax	thư giãn
release	giải phóng
relevant	liên quan, thích hợp
relief	cứu trợ
religion	tôn giáo
religious	Tôn giáo
rely	dựa vào
remain	còn lại
remaining	còn lại
remarkable	đáng chú ý
remember	nhớ lại
remind	nhắc lại
remote	xa
remove	tẩy
repeat	nói lại
repeatedly	nhiều lần
replace	thay thế
reply	Đáp lại
report	bài báo cáo
reporter	phóng viên
represent	đại diện
representation	đại diện
representative	Tiêu biểu
republican	Đảng Cộng hòa
reputation	uy tín
request	yêu cầu
require	yêu cầu
requirement	yêu cầu
research	nghiên cứu
researcher	nghiên cứu viên
resemble	giống nhau
reservation	đặt trước
resident	cư dân
resist	kháng cự
resistance	sức đề kháng
resolution	độ phân giải
resolve	giải quyết
resort	phương sách
resource	nguồn
respect	sự tôn trọng
respond	trả lời
respondent	bị đơn
response	phản ứng
responsibility	trách nhiệm
responsible	chịu trách nhiệm
rest	nghỉ ngơi
restaurant	nhà hàng
restore	khôi phục
restriction	sự hạn chế
result	kết quả
retain	giữ lại
retire	về hưu
retirement	nghỉ hưu
return	trở về
reveal	tiết lộ
revenue	doanh thu
review	ôn tập
revolution	Cuộc cách mạng
rhythm	nhịp
rice	cơm
rich	giàu có
rid	thoát khỏi
ride	dap xe
rifle	súng trường
right	đúng
ring	nhẫn
rise	tăng lên
risk	rủi ro
river	con sông
road	đường
rock	đá
role	vai trò
roll	cuộn
romantic	lãng mạn
roof	mái nhà
room	phòng
root	nguồn gốc
rope	dây thừng
rose	Hoa hồng
rough	thô
roughly	gần như
round	tròn
route	tuyến đường
routine	công Việt Hằng ngày
row	hàng
rub	chà xát
rule	qui định
run	chạy
running	đang chạy
rural	nông thôn
rush	vội vã
russian	Người Nga
sacred	Linh thiêng
sad	buồn
safe	an toàn
safety	sự an toàn
sake	lợi ích
salad	rau xà lách
salary	tiền lương
sale	buôn bán
sales	bán hàng
salt	Muối
same	tương tự
sample	mẫu vật
sanction	phê chuẩn
sand	cát
satellite	vệ tinh
satisfaction	sự thỏa mãn
satisfy	thỏa mãn
sauce	Nước xốt
save	tiết kiệm
saving	tiết kiệm
say	Nói
scale	tỉ lệ
scandal	vụ bê bối
scared	sợ hãi
scenario	kịch bản
scene	bối cảnh
schedule	lịch trình
scheme	kế hoạch
scholar	học giả
scholarship	học bổng
school	trường học
science	khoa học
scientific	thuộc về khoa học
scientist	nhà khoa học
scope	phạm vi
score	ghi bàn
scream	hét lên
screen	màn
script	kịch bản
sea	biển
search	Tìm kiếm
season	Mùa
seat	ghế
second	thứ hai
secret	bí mật
secretary	Thư ký
section	phần
sector	ngành
secure	đảm bảo
security	Bảo vệ
see	xem
seed	hạt giống
seek	tìm kiếm
seem	hình như
segment	phân đoạn
seize	tịch thu
select	lựa chọn
selection	lựa chọn
self	bản thân
sell	bán
senate	Thượng nghị viện
senator	thượng nghị sĩ
send	gửi
senior	cao cấp
sense	giác quan
sensitive	nhạy cảm
sentence	kết án
separate	tách rời
sequence	trình tự
series	loạt
serious	nghiêm trọng
seriously	nghiêm túc
serve	phục vụ
service	dịch vụ
session	phiên
set	bộ
setting	cài đặt
settle	dàn xếp
settlement	giải quyết
seven	bảy
several	một số
severe	nghiêm trọng
sex	tình dục
sexual	tình dục
shade	bóng râm
shadow	bóng
shake	lắc
shall	sẽ
shape	hình dạng
share	chia sẻ
sharp	nhọn
she	bà ấy
sheet	tấm
shelf	kệ
shell	vỏ
shelter	nơi trú ẩn
shift	sự dịch chuyển
shine	tỏa sáng
ship	tàu
shirt	áo sơ mi
shit	shit
shock	sốc
shoe	giày
shoot	bắn
shooting	chụp
shop	cửa tiệm
shopping	mua sắm
shore	bờ biển
short	ngắn
shortly	không lâu sau
shot	bắn
should	Nên
shoulder	vai
shout	kêu la
show	chỉ
shower	vòi hoa sen
shrug	nhún vai
shut	đóng cửa
sick	đau ốm
side	bên
sigh	thở dài
sight	thị giác
sign	ký tên
signal	tín hiệu
significance	ý nghĩa
significant	có ý nghĩa
significantly	đáng kể
silence	khoảng lặng
silent	im lặng
silver	bạc
similar	giống
similarly	tương tự
simple	đơn giản
simply	đơn giản
sin	tội
since	kể từ đó
sing	hát
singer	ca sĩ
single	Độc thân
sink	bồn rửa
sir	quý ngài
sister	em gái
sit	ngồi
site	trang web
situation	tình hình
six	sáu
size	kích thước
ski	trượt tuyết
skill	kỹ năng
skin	da
sky	bầu trời
slave	nô lệ
sleep	ngủ
slice	lát cắt
slide	trượt
slight	nhẹ
slightly	khinh bỉ
slip	trượt
slow	chậm chạp
slowly	chậm rãi
small	nhỏ bé
smart	thông minh
smell	mùi
smile	nụ cười
smoke	hút thuốc lá
smooth	trơn tru
snap	chụp
snow	tuyết
so	vì thế
so-called	cái gọi là
soccer	bóng đá
social	xã hội
society	xã hội
soft	mềm mại
software	phần mềm
soil	đất
solar	hệ mặt trời
soldier	lính
solid	chất rắn
solution	dung dịch
solve	giải quyết
some	một số
somebody	có ai
somehow	bằng cách nào đó
someone	người nào
something	một cái gì đó
sometimes	đôi khi
somewhat	phần nào
somewhere	một vài nơi
son	Con trai
song	bài hát
soon	Sớm
sophisticated	tinh vi
sorry	lấy làm tiếc
sort	sắp xếp
soul	Linh hồn
sound	âm thanh
soup	Súp
source	nguồn
south	miền Nam
southern	phía Nam
soviet	Liên Xô
space	không gian
spanish	người Tây Ban Nha
speak	nói
speaker	loa
special	đặc biệt
specialist	chuyên gia
species	loài
specific	riêng
specifically	đặc biệt
speech	phát biểu
speed	tốc độ
spend	tiêu
spending	chi tiêu
spin	quay
spirit	tinh thần
spiritual	thuộc linh
split	chia ra
spokesman	người phát ngôn
sport	môn thể thao
spot	nơi
spread	Lan tràn
spring	mùa xuân
square	Quảng trường
squeeze	siết chặt
stability	sự ổn định
stable	ổn định
staff	cán bộ
stage	sân khấu
stair	cầu thang
stake	cổ phần
stand	đứng
standard	Tiêu chuẩn
standing	đứng
star	ngôi sao
stare	nhìn chằm chằm
start	khởi đầu
state	tiểu bang
statement	tuyên bố
station	ga tàu
statistics	số liệu thống kê
status	trạng thái
stay	ở lại
steady	vững chắc
steal	lấy trộm
steel	Thép
step	bậc thang
stick	gậy
still	vẫn
stir	khuấy động
stock	cổ phần
stomach	Dạ dày
stone	cục đá
stop	dừng lại
storage	lưu trữ
store	cửa hàng
storm	bão táp
story	câu chuyện
straight	thẳng
strange	lạ
stranger	người lạ mặt
strategic	chiến lược
strategy	chiến lược
stream	suối
street	đường phố
strength	sức mạnh
strengthen	tăng cường
stress	nhấn mạnh
stretch	căng ra
strike	đình công
string	chuỗi
strip	dải
stroke	Cú đánh
strong	mạnh
strongly	mạnh mẽ
structure	kết cấu
struggle	cuộc đấu tranh
student	sinh viên
studio	phòng thu
study	học
stuff	đồ đạc
stupid	ngốc nghếch
style	Phong cách
subject	môn học
submit	Gửi đi
subsequent	tiếp theo
substance	vật chất
substantial	đáng kể
succeed	thành công
success	sự thành công
successful	thành công
successfully	thành công
such	như là
sudden	đột nhiên
suddenly	đột ngột
sue	kiện
suffer	đau khổ
sufficient	đủ
sugar	đường
suggest	đề nghị
suggestion	gợi ý
suicide	tự tử
suit	bộ đồ
summer	mùa hè
summit	hội nghị thượng đỉnh
sun	mặt trời
super	siêu
supply	cung cấp
support	ủng hộ
supporter	người ủng hộ
suppose	giả sử
supposed	được cho là
supreme	Tối cao
sure	chắc chắn rồi
surely	chắc chắn
surface	bề mặt
surgery	phẫu thuật
surprise	sự ngạc nhiên
surprised	ngạc nhiên
surprising	thật ngạc nhiên
surprisingly	thật ngạc nhiên
surround	vây quanh
survey	khảo sát
survival	Sự sống còn
survive	sống sót
survivor	người sống sót
suspect	nghi ngờ
sustain	duy trì
swear	xin thề
sweep	quét
sweet	ngọt
swim	bơi
swing	lung lay
switch	công tắc điện
symbol	ký hiệu
symptom	triệu chứng
system	hệ thống
table	bàn
tablespoon	muỗng canh
tactic	chiến thuật
tail	đuôi
take	lấy
tale	câu chuyện
talent	năng lực
talk	nói chuyện
tall	cao
tank	xe tăng
tap	vòi nước
tape	băng dính
target	Mục tiêu
task	bài tập
taste	nếm thử
tax	Thuế
taxpayer	người nộp thuế
tea	trà
teach	dạy
teacher	giáo viên
teaching	giảng bài
team	đội
tear	nước mắt
teaspoon	muỗng cà phê
technical	kỹ thuật
technique	kỹ thuật
technology	Công nghệ
teen	thiếu niên
teenager	thiếu niên
telephone	Điện thoại
telescope	kính viễn vọng
television	vô tuyến
tell	nói
temperature	nhiệt độ
temporary	tạm thời
ten	mười
tend	có xu hướng
tendency	xu hướng
tennis	quần vợt
tension	sự căng thẳng
tent	lều
term	kỳ hạn
terms	điều kiện
terrible	khủng khiếp
territory	lãnh thổ
terror	khủng bố
terrorism	chủ nghĩa khủng bố
terrorist	kẻ khủng bố
test	kiểm tra
testify	làm chứng
testimony	lời khai
testing	thử nghiệm
text	bản văn
than	hơn
thank	cảm tạ
thanks	cảm ơn
that	cái đó
the	các
theater	rạp hát
their	của chúng
them	họ
theme	chủ đề
themselves	bản thân họ
then	sau đó
theory	học thuyết
therapy	trị liệu
there	ở đó
therefore	vì thế
these	những cái này
they	họ
thick	dày
thin	gầy
thing	Điều
think	suy nghĩ
thinking	Suy nghĩ
third	thứ ba
thirty	ba mươi
this	điều này
those	những, cái đó
though	Tuy nhiên
thought	nghĩ
thousand	nghìn
threat	mối đe dọa
threaten	hăm dọa
three	số ba
throat	họng
through	xuyên qua
throughout	khắp
throw	ném
thus	do đó
ticket	vé
tie	cà vạt
tight	chặt chẽ
time	thời gian
tiny	nhỏ bé
tip	tiền boa
tire	lốp xe
tired	mệt mỏi
tissue	mô
title	chức vụ
to	đến
tobacco	thuốc lá
today	hôm nay
toe	ngón chân
together	cùng với nhau
tomato	cà chua
tomorrow	Ngày mai
tone	tấn
tongue	lưỡi
tonight	tối nay
too	quá
tool	dụng cụ
tooth	răng
top	hàng đầu
topic	đề tài
toss	quăng
total	toàn bộ
totally	hoàn toàn
touch	chạm
tough	khó khăn
tour	chuyến du lịch
tourist	du lịch
tournament	giải đấu
toward	về phía
towards	hướng tới
tower	Tháp
town	thị trấn
toy	đồ chơi
trace	dấu vết
track	theo dõi
trade	buôn bán
tradition	truyền thống
traditional	truyên thông
traffic	giao thông
tragedy	bi kịch
trail	đường mòn
train	xe lửa
training	đào tạo
transfer	chuyển khoản
transform	biến đổi
transformation	sự biến đổi
transition	sự chuyển tiếp
translate	dịch
transportation	vận chuyển
travel	du lịch
treat	đãi
treatment	điều trị
treaty	hiệp ước
tree	cây
tremendous	to lớn
trend	khuynh hướng
trial	thử nghiệm
tribe	bộ lạc
trick	lừa
trip	chuyến đi
troop	quân đội
trouble	rắc rối
truck	xe tải
true	thật
truly	thật sự
trust	Lòng tin
truth	sự thật
try	thử
tube	ống
tunnel	đường hầm
turn	xoay
tv	TV
twelve	mười hai
twenty	hai mươi
twice	hai lần
twin	sinh đôi
two	hai
type	kiểu
typical	điển hình
typically	thường
ugly	xấu xí
ultimate	tối hậu
ultimately	cuối cùng
unable	không thể
uncle	Chú
under	Dưới
undergo	trải qua
understand	hiểu không
understanding	sự hiểu biết
unfortunately	không may
uniform	đồng phục
union	liên hiệp
unique	độc nhất
unit	đơn vị
united	United
universal	phổ cập
universe	vũ trụ
university	trường đại học
unknown	không xác định
unless	trừ khi
unlike	không giống
unlikely	không chắc
until	cho đến
unusual	bất thường
up	lên
upon	trên
upper	phía trên
urban	đô thị
urge	thúc giục
us	chúng tôi
use	sử dụng
used	đã sử dụng
useful	hữu ích
user	người dùng
usual	bình thường
usually	thông thường
utility	tiện ích
vacation	kỳ nghỉ
valley	thung lũng
valuable	quý giá
value	giá trị
variable	biến
variation	sự thay đổi
variety	đa dạng
various	khác nhau
vary	thay đổi
vast	rộng lớn
vegetable	rau
vehicle	phương tiện
venture	liên doanh
version	phiên bản
versus	đấu với
very	rất
vessel	tàu
veteran	cựu chiến binh
via	thông qua
victim	nạn nhân
victory	chiến thắng
video	video
view	lượt xem
viewer	người xem
village	làng
violate	xâm phạm
violation	sự vi phạm
violence	bạo lực
violent	hung bạo
virtually	hầu như
virtue	Đức hạnh
virus	vi rút
visible	có thể nhìn thấy
vision	tầm nhìn
visit	chuyến thăm
visitor	khách thăm quan
visual	trực quan
vital	quan trọng
voice	tiếng nói
volume	âm lượng
volunteer	Tình nguyện
vote	bỏ phiếu
voter	cử tri
vs	so với
vulnerable	dễ bị tổn thương
wage	tiền lương
wait	chờ đợi
wake	đánh thức
walk	đi bộ
wall	Tường
wander	đi lang thang
want	muốn
war	chiến tranh
warm	ấm áp
warn	cảnh báo
warning	cảnh báo
wash	rửa
waste	chất thải
watch	đồng hồ đeo tay
water	Nước
wave	làn sóng
way	đường
we	chúng tôi
weak	Yếu
wealth	sự giàu có
wealthy	giàu có
weapon	vũ khí
wear	mặc
weather	thời tiết
wedding	lễ cưới
week	tuần
weekend	ngày cuối tuần
weekly	hàng tuần
weigh	cân
weight	cân nặng
welcome	chào mừng
welfare	phúc lợi
well	tốt
west	hướng Tây
western	miền Tây
wet	ướt
what	gì
whatever	bất cứ điều gì
wheel	bánh xe
when	khi nào
whenever	bất cứ khi nào
where	Ở đâu
whereas	trong khi
whether	liệu
which	cái nào
while	trong khi
whisper	thì thầm
white	trắng
who	người nào
whole	toàn thể
whom	ai
whose	có ai
why	tại sao
wide	rộng
widely	rộng rãi
widespread	phổ biến rộng rãi
wife	người vợ
wild	hoang dã
will	sẽ
willing	sẵn lòng
win	thắng lợi
wind	gió
window	cửa sổ
wine	rượu nho
wing	canh
winner	người chiến thắng
winter	mùa đông
wipe	lau
wire	dây điện
wisdom	sự khôn ngoan
wise	khôn ngoan
wish	muốn
with	với
withdraw	rút tiền
within	trong
without	không có
witness	nhân chứng
woman	đàn bà
wonder	ngạc nhiên
wonderful	Tuyệt vời
wood	gỗ
wooden	bằng gỗ
word	từ
work	công việc
worker	công nhân
working	đang làm việc
works	công trinh
workshop	xưởng
world	thế giới
worried	lo lắng
worry	lo
worth	đáng
would	sẽ
wound	vết thương
wrap	quấn
write	viết
writer	nhà văn
writing	viết
wrong	sai rồi
yard	sân
yeah	vâng
year	năm
yell	la lên
yellow	màu vàng
yes	Vâng
yesterday	hôm qua
yet	chưa
yield	năng suất
you	bạn
young	trẻ
your	của bạn
yours	của bạn
yourself	bản thân bạn
youth	thiếu niên
zone	khu vực
